student_id,current_stage,current_course_or_class,age,gender,tenth_percentage,twelfth_or_diploma_percentage,graduation_percentage,math_score,programming_score,communication_score,logical_reasoning_score,creativity_score,leadership_score,teamwork_score,problem_solving_score,coding_interest,design_interest,data_interest,business_interest,security_interest,cloud_interest,preferred_work_type,preferred_subroles,preferred_domain,personality_type,certifications_count,project_count,internship_experience,favorite_subject,current_skills,target_career
ST0028,Graduate,BCom,23,Male,52.37,45.0,69.56,5,4,6,7,5,4,5,5,4,3,3,3,4,1,Analytical,"Risk Assessment, Market Research",Cloud,Leader,1,2,No,Statistics,"JavaScript, WordPress, Math, React",Database Administrator
ST0029,Pursuing_12th,Science,18,Male,80.1,0.0,0.0,4,5,6,3,4,8,9,9,3,5,1,4,2,5,Analytical,"Risk Assessment, Market Research",AI-ML,Analytical,4,0,No,DBMS,"Math, Azure",Database Administrator
ST0030,10th,General,16,Female,79.62,0.0,0.0,4,8,3,8,4,7,10,5,5,4,5,1,1,4,Technical,"App Development, System Admin",Web,Creative,3,3,No,Python,"Node.js, Pandas, R, Statistics",DevOps Engineer
ST0031,Diploma,Diploma_CSE,25,Male,65.65,76.58,0.0,3,4,7,5,10,5,7,10,3,2,2,3,4,5,Technical,"DevOps, Software Engineering",Data,Creative,1,0,No,Math,"PyTorch, TensorFlow, Communication",Backend Developer
ST0032,Graduate,BCom,20,Female,68.91,100.0,64.78,4,5,4,8,4,8,8,5,2,1,5,5,5,4,Technical,"Software Engineering, App Development",AI-ML,Logical,0,1,No,UI Design,"PyTorch, Math, TensorFlow, Kubernetes",UI/UX Designer
ST0033,BTech,BTech_ECE,19,Male,66.37,96.67,53.73,5,6,8,3,7,5,5,8,2,1,4,1,4,3,Technical,"Software Engineering, DevOps",Web,Leader,1,2,No,DBMS,"Network Security, Linux, Ethical Hacking",Backend Developer
ST0034,BTech,BTech_IT,22,Male,97.7,45.61,82.02,7,3,4,8,6,6,7,4,4,2,4,1,4,4,Management,"Scrum Master, Product Owner",AI-ML,Logical,1,1,No,UI Design,"Pandas, Statistics, Cryptography",DevOps Engineer
ST0035,Pursuing_12th,Arts,17,Male,67.33,0.0,0.0,3,9,5,6,10,3,7,6,5,1,3,1,4,3,Technical,"DevOps, System Admin",Web,Creative,0,6,Yes,Math,"Math, Python, TensorFlow, Keras",Backend Developer
ST0036,12th,Commerce,18,Male,100.0,76.39,0.0,8,4,5,10,7,6,6,5,3,2,4,3,1,1,Analytical,"Market Research, Quality Assurance",AI-ML,Logical,1,1,No,UI Design,"CSS, Tableau, React",Database Administrator
ST0037,10th,General,15,Male,74.07,0.0,0.0,7,5,3,7,3,4,8,7,2,5,1,3,2,2,Analytical,"Risk Assessment, Quality Assurance",AI-ML,Logical,1,2,No,Statistics,"CRM, Wireshark",Full Stack Developer
ST0038,Pursuing_Diploma,Diploma_CSE,21,Male,93.41,78.27,0.0,4,3,8,3,5,7,9,6,1,3,4,5,1,3,Analytical,"Data Analysis, Market Research",Data,Analytical,2,5,Yes,Networking,"Market Research, CRM, Communication, Keras",Full Stack Developer
ST0039,Pursuing_12th,Science,19,Male,75.84,0.0,0.0,6,3,8,6,8,7,9,7,2,2,4,1,4,1,Analytical,"Market Research, Risk Assessment",Data,Analytical,0,2,No,Math,"HTML, CSS, Azure",Business Analyst
ST0040,Graduate,BSc_CS,24,Other,69.38,77.91,83.66,4,7,4,3,4,5,9,7,4,5,2,2,4,4,Management,"Operations, Product Owner",Security,Analytical,3,3,No,Statistics,"HTML, Linux, React",Backend Developer
ST0041,Pursuing_Diploma,Diploma_ECE,22,Female,69.63,69.91,0.0,9,8,9,8,3,10,5,5,1,4,4,1,3,5,Management,"Team Lead, Scrum Master",Security,Analytical,1,2,Yes,DBMS,"Communication, Project Management, AWS",Data Scientist
ST0042,BCA,BCA,19,Male,86.26,64.03,90.35,5,5,6,4,8,4,5,6,3,2,2,4,1,3,Creative,"Content Creation, UI Design",Data,Leader,1,1,No,Math,"Communication, Wireshark",Backend Developer
ST0043,Pursuing_12th,Science,17,Female,81.2,0.0,0.0,7,9,4,7,4,5,7,8,1,4,1,1,4,2,Technical,"App Development, Software Engineering",Cloud,Analytical,1,1,No,Web,"Docker, Agile",DevOps Engineer
ST0044,Pursuing_Diploma,Diploma_ECE,26,Female,78.93,67.54,0.0,5,5,7,3,8,3,5,7,4,1,3,4,1,1,Analytical,"Data Analysis, Market Research",Data,Analytical,0,0,No,Networking,"Terraform, Scikit-Learn",Web Developer
ST0045,12th,Science,19,Male,50.6,81.07,0.0,4,6,4,6,5,9,4,5,2,4,3,1,1,4,Management,"Operations, Scrum Master",AI-ML,Analytical,1,2,No,Statistics,"Market Research, Tableau, Communication, Agile",Cybersecurity Analyst
ST0046,BTech,BTech_ECE,22,Female,78.72,77.26,69.27,7,6,6,7,7,5,8,8,2,4,1,4,3,5,Management,"Operations, Product Owner",Cloud,Creative,3,0,No,Web,"WordPress, Python, Angular",UI/UX Designer
ST0047,Pursuing_Diploma,Diploma_ECE,19,Female,54.02,57.02,0.0,9,7,5,6,3,6,9,5,3,3,1,4,1,3,Analytical,"Market Research, Data Analysis",Data,Analytical,0,2,No,DBMS,"CRM, JavaScript, PHP",Data Scientist
ST0048,Pursuing_BTech,BTech_Civil,24,Male,74.63,49.32,0.0,8,7,5,8,7,9,7,7,3,3,1,4,1,2,Management,"Operations, Team Lead",Web,Analytical,0,2,No,Web,"Tableau, Agile",Full Stack Developer
ST0049,10th,General,15,Male,71.76,0.0,0.0,8,6,6,3,3,5,6,7,5,3,4,5,1,4,Management,"Operations, Scrum Master",Data,Analytical,0,1,No,Statistics,"CSS, Canva",UI/UX Designer
ST0050,12th,Science,17,Male,77.39,60.78,0.0,8,7,8,5,5,9,10,5,5,3,1,2,5,5,Management,"Team Lead, Product Owner",Web,Logical,1,8,Yes,Statistics,"Scikit-Learn, Project Management, CRM",Full Stack Developer
ST0051,Diploma,Diploma_IT,19,Other,81.99,92.93,0.0,6,4,3,6,3,7,4,7,3,5,2,4,3,2,Creative,"Visual Prototyping, Content Creation",Data,Analytical,0,1,No,Networking,"Market Research, CRM",Web Developer
ST0052,Pursuing_Diploma,Diploma_CSE,19,Female,63.64,73.61,0.0,6,8,3,7,6,3,10,7,3,5,3,1,5,1,Creative,"UI Design, Frontend Design",Security,Creative,1,3,No,DBMS,"PowerBI, Docker, Kubernetes",Data Scientist
ST0053,Diploma,Diploma_Mech,25,Male,83.72,94.71,0.0,5,7,7,10,7,7,9,3,2,4,2,3,4,2,Creative,"Frontend Design, Visual Prototyping",Web,Logical,3,0,No,UI Design,"Market Research, Excel, Communication, Agile",UI/UX Designer
ST0054,Pursuing_12th,Science,18,Male,87.47,0.0,0.0,8,7,3,7,6,8,9,4,5,1,5,3,3,5,Creative,"Visual Prototyping, Content Creation",Security,Logical,0,1,No,Web,"Wireshark, Agile, Cryptography, Ethical Hacking",ML Engineer
ST0055,Pursuing_Diploma,Diploma_CSE,19,Female,84.64,69.81,0.0,6,6,3,8,6,8,7,3,4,2,2,5,5,4,Creative,"Content Creation, Visual Prototyping",Web,Logical,3,1,Yes,Python,"Terraform, Azure, Docker, Kubernetes",ML Engineer
ST0056,10th,General,17,Female,77.76,0.0,0.0,8,5,7,5,3,6,10,10,2,3,1,5,5,2,Technical,"App Development, Software Engineering",Web,Logical,0,1,Yes,Python,"Figma, Project Management, Photoshop, Adobe XD",Web Developer
ST0057,BTech,BTech_Civil,25,Female,78.99,63.06,73.41,5,8,7,4,3,9,7,3,1,3,3,5,4,2,Management,"Scrum Master, Product Owner",AI-ML,Leader,0,2,No,Networking,"Python, Network Security",Software Tester
ST0058,BCA,BCA,20,Male,65.61,66.44,69.06,9,3,3,4,3,4,6,5,4,2,3,5,3,4,Creative,"Visual Prototyping, UI Design",Web,Leader,1,2,No,Math,"Scikit-Learn, Excel, Pandas, Statistics",ML Engineer
ST0059,Graduate,BCom,23,Male,74.16,79.9,72.69,7,5,7,5,9,8,7,3,2,2,5,1,1,1,Management,"Product Owner, Team Lead",Security,Creative,1,0,No,Python,"Communication, CRM, Statistics, Agile",Backend Developer
ST0060,Diploma,Diploma_Mech,26,Male,62.65,50.79,0.0,6,9,5,6,8,5,9,4,4,3,2,2,5,4,Technical,"System Admin, Software Engineering",Web,Leader,1,2,No,UI Design,"Figma, PowerBI, Statistics",Software Tester
ST0061,10th,General,16,Male,86.07,0.0,0.0,5,6,4,6,7,6,8,4,5,4,2,3,1,3,Analytical,"Quality Assurance, Risk Assessment",AI-ML,Analytical,1,4,Yes,Statistics,"Angular, React",UI/UX Designer
ST0062,Pursuing_12th,Arts,19,Female,79.57,0.0,0.0,3,5,7,6,6,8,4,10,2,4,3,2,4,5,Technical,"DevOps, Software Engineering",Security,Logical,1,1,No,UI Design,"Linux, Kubernetes, Ethical Hacking",Software Tester
ST0063,Pursuing_12th,Arts,17,Female,72.38,0.0,0.0,5,8,6,7,5,7,7,5,5,5,2,1,5,5,Creative,"UI Design, Content Creation",Cloud,Logical,2,2,No,UI Design,"AWS, Docker",Backend Developer
ST0064,10th,General,15,Other,84.27,0.0,0.0,8,8,8,8,7,3,10,4,5,4,4,4,2,2,Creative,"UI Design, Visual Prototyping",Data,Analytical,0,1,No,DBMS,"Figma, PyTorch, Adobe XD, Illustrator",Business Analyst
ST0065,BCA,BCA,25,Female,65.83,69.99,72.27,3,4,8,5,4,7,7,5,1,3,5,5,2,2,Analytical,"Risk Assessment, Market Research",Web,Leader,1,1,No,Networking,"Tableau, PHP",DevOps Engineer
ST0066,Pursuing_BTech,BTech_CSE,20,Female,75.38,83.26,0.0,4,6,9,4,7,9,4,8,3,3,2,4,3,5,Management,"Scrum Master, Operations",Web,Leader,2,4,Yes,DBMS,"Market Research, Azure",Software Tester
ST0067,Pursuing_Diploma,Diploma_ECE,20,Male,79.83,45.0,0.0,5,7,5,6,8,9,9,3,2,4,3,4,5,1,Management,"Product Owner, Operations",Cloud,Analytical,0,5,Yes,Math,"PyTorch, Agile",Cybersecurity Analyst
ST0068,BTech,BTech_IT,26,Male,76.85,66.51,78.38,6,7,4,8,7,8,9,4,1,4,2,3,2,4,Analytical,"Quality Assurance, Data Analysis",Data,Analytical,1,5,Yes,Web,"Figma, React",Full Stack Developer
ST0069,Pursuing_Diploma,Diploma_Mech,23,Male,66.57,75.19,0.0,4,3,5,6,7,6,5,3,2,1,3,5,1,3,Management,"Product Owner, Scrum Master",Cloud,Leader,0,3,No,UI Design,"Math, Network Security",Software Tester
ST0070,BTech,BTech_Civil,20,Male,50.0,66.54,85.16,3,6,7,5,7,8,5,7,2,2,5,2,2,4,Analytical,"Data Analysis, Risk Assessment",Security,Logical,1,1,No,DBMS,"Math, CSS",Backend Developer
ST0071,10th,General,15,Male,89.51,0.0,0.0,10,7,7,4,7,7,9,5,3,5,2,1,3,2,Management,"Scrum Master, Operations",Web,Logical,0,3,No,Statistics,"Excel, Linux",Data Scientist
ST0072,BCA,BCA,24,Male,71.45,71.22,66.87,6,8,7,4,5,7,7,6,4,2,5,1,5,5,Technical,"System Admin, App Development",Cloud,Leader,0,0,No,Networking,"Figma, Photoshop, Wireshark",Business Analyst
ST0073,BCA,BCA,26,Male,70.69,70.39,68.48,7,8,4,6,7,7,10,6,2,4,1,1,2,5,Management,"Operations, Team Lead",Data,Analytical,1,1,No,Statistics,"CRM, Canva",ML Engineer
ST0074,BCA,BCA,26,Female,72.49,86.93,56.85,5,3,8,3,6,7,7,8,3,4,3,1,3,3,Creative,"Visual Prototyping, UI Design",Data,Leader,0,0,No,UI Design,"Terraform, Linux, Wireshark, Ethical Hacking",UI/UX Designer
ST0075,Diploma,Diploma_IT,26,Male,86.19,60.45,0.0,7,5,4,4,7,8,8,6,2,2,3,2,5,3,Technical,"DevOps, Software Engineering",Security,Creative,2,3,No,Networking,"Scikit-Learn, Linux, Cryptography, Network Security",Cloud Engineer
ST0076,Pursuing_12th,Commerce,18,Female,80.26,0.0,0.0,3,5,5,4,3,7,10,9,3,5,1,5,1,5,Technical,"DevOps, App Development",Web,Logical,0,1,No,DBMS,"Azure, Wireshark, Cryptography, Ethical Hacking",Backend Developer
ST0077,Pursuing_12th,Science,19,Female,89.87,0.0,0.0,6,9,4,4,4,5,7,5,1,4,2,2,2,4,Technical,"System Admin, App Development",Cloud,Creative,2,1,No,Networking,"Photoshop, Docker, Illustrator, Canva",Data Scientist
ST0078,Graduate,BSc_CS,22,Female,78.41,68.36,60.17,9,4,3,3,6,3,8,8,5,2,4,3,4,1,Analytical,"Quality Assurance, Data Analysis",Web,Leader,2,5,Yes,Networking,"Docker, Figma, Photoshop, Adobe XD",Data Scientist
ST0079,BCA,BCA,22,Female,54.49,65.54,53.52,3,8,8,4,5,7,5,4,1,1,1,3,4,1,Technical,"Software Engineering, System Admin",Cloud,Leader,1,0,No,Python,"CSS, AWS",Web Developer
ST0080,Pursuing_12th,Science,17,Female,82.82,0.0,0.0,7,3,8,5,8,3,9,3,4,1,2,4,5,4,Creative,"Frontend Design, Content Creation",AI-ML,Logical,0,1,No,Python,"CRM, Ethical Hacking, Agile",Full Stack Developer
ST0081,Graduate,BTech_IT,24,Male,67.43,61.15,61.06,5,6,8,4,6,8,5,6,5,4,1,3,5,3,Creative,"Visual Prototyping, Content Creation",AI-ML,Creative,1,4,Yes,Math,"AWS, Azure, Linux",Backend Developer
ST0082,Graduate,BCA,19,Female,52.8,90.52,66.64,8,8,8,5,7,5,8,5,5,2,3,5,2,1,Analytical,"Risk Assessment, Market Research",Cloud,Logical,1,3,No,DBMS,"PowerBI, Figma, Photoshop, Adobe XD",ML Engineer
ST0083,Pursuing_BTech,BTech_ECE,25,Female,65.59,71.5,0.0,10,3,7,8,5,8,7,6,5,2,2,1,1,4,Management,"Operations, Scrum Master",Data,Analytical,1,1,No,Statistics,"Scikit-Learn, Python, TensorFlow, Network Security",ML Engineer
ST0084,BCA,BCA,19,Female,79.11,93.94,78.41,5,4,10,6,3,10,10,3,3,1,4,3,1,3,Management,"Team Lead, Product Owner",Data,Analytical,2,1,No,Web,"JavaScript, WordPress, PHP, Project Management",Data Scientist
ST0085,10th,General,17,Female,84.3,0.0,0.0,8,5,8,8,5,9,4,3,4,2,4,2,3,3,Management,"Team Lead, Operations",Security,Logical,1,2,No,Web,"Math, PHP, TensorFlow, Keras",Cloud Engineer
ST0086,BTech,BTech_CSE,20,Female,67.1,68.37,90.76,8,3,8,3,3,3,6,4,2,3,2,4,2,3,Creative,"Frontend Design, UI Design",AI-ML,Analytical,1,1,No,UI Design,"Pandas, R",Web Developer
ST0087,12th,Arts,19,Other,77.22,81.27,0.0,4,4,7,8,6,6,6,7,4,4,5,2,2,3,Management,"Product Owner, Scrum Master",Security,Analytical,3,4,Yes,Python,"Azure, Illustrator",Full Stack Developer
ST0088,BTech,BTech_Civil,19,Male,73.01,54.51,53.21,5,8,8,7,8,5,9,9,4,5,5,2,3,1,Technical,"DevOps, Software Engineering",AI-ML,Leader,2,0,No,Python,"AWS, WordPress, Node.js",Backend Developer
ST0089,Graduate,BSc_CS,20,Female,61.79,76.28,72.63,10,5,5,4,8,3,10,4,2,1,2,3,2,2,Analytical,"Market Research, Risk Assessment",Security,Leader,2,4,Yes,Python,"Communication, AWS",ML Engineer
ST0090,BTech,BTech_Civil,21,Male,81.84,63.54,84.07,5,4,3,5,3,4,6,3,1,2,1,5,1,2,Creative,"Content Creation, Frontend Design",Cloud,Leader,1,6,Yes,Networking,"Linux, Cryptography, Network Security",UI/UX Designer
ST0091,Pursuing_BTech,BTech_Civil,19,Female,69.42,65.61,0.0,5,9,6,9,8,3,8,9,1,4,1,3,5,1,Technical,"App Development, Software Engineering",AI-ML,Logical,2,0,No,UI Design,"Terraform, Figma, Adobe XD",Software Tester
ST0092,Pursuing_BTech,BTech_IT,25,Female,79.89,78.41,0.0,6,6,5,5,7,4,7,9,3,1,3,5,1,3,Technical,"System Admin, Software Engineering",AI-ML,Leader,1,3,No,DBMS,"HTML, Network Security",Backend Developer
ST0093,BCA,BCA,21,Male,50.0,49.4,69.24,4,8,6,3,6,8,4,5,2,2,5,3,2,1,Management,"Operations, Product Owner",Web,Leader,0,2,No,Web,"Photoshop, Adobe XD, Illustrator",Software Tester
ST0094,Pursuing_12th,Science,19,Female,75.67,0.0,0.0,4,6,8,5,9,3,6,7,5,3,1,1,1,5,Technical,"System Admin, App Development",Cloud,Creative,1,1,No,UI Design,"PyTorch, Math, TensorFlow, Market Research",UI/UX Designer
ST0095,Pursuing_Diploma,Diploma_Mech,24,Male,66.64,59.22,0.0,6,5,8,5,10,5,6,6,2,3,5,1,4,3,Management,"Operations, Product Owner",Cloud,Creative,1,1,No,Python,"React, Ethical Hacking",Business Analyst
ST0096,10th,General,15,Male,77.48,0.0,0.0,7,6,8,4,5,5,10,5,4,1,1,3,1,5,Creative,"Frontend Design, UI Design",Web,Leader,0,0,No,Web,"Terraform, Scikit-Learn, Linux, Kubernetes",Web Developer
ST0097,12th,Arts,18,Female,85.28,71.15,0.0,8,4,3,8,6,4,5,8,5,4,3,3,2,4,Analytical,"Market Research, Quality Assurance",Data,Analytical,0,1,No,Math,"Communication, Linux, Wireshark, Network Security",Data Scientist
ST0098,10th,General,15,Male,95.05,0.0,0.0,4,5,8,7,10,8,4,7,1,1,1,3,4,5,Technical,"App Development, DevOps",Data,Creative,1,1,No,UI Design,"Linux, Docker, Network Security",Backend Developer
ST0099,10th,General,16,Female,79.75,0.0,0.0,8,10,7,9,7,6,10,7,2,2,4,1,1,2,Technical,"System Admin, App Development",AI-ML,Logical,0,1,No,UI Design,"Photoshop, Linux, Wireshark, Ethical Hacking",Cybersecurity Analyst
ST0100,12th,Commerce,18,Female,61.07,59.68,0.0,6,3,4,8,7,4,9,5,1,4,1,1,1,4,Creative,"UI Design, Frontend Design",Security,Logical,1,1,No,Math,"Figma, WordPress, Photoshop, Illustrator",Cybersecurity Analyst
ST0101,BTech,BTech_IT,19,Other,84.67,58.37,63.15,8,6,5,8,7,5,5,8,4,3,5,2,1,1,Technical,"DevOps, System Admin",Web,Analytical,1,4,Yes,Python,"Pandas, Python, SQL",Business Analyst
ST0102,12th,Commerce,18,Female,63.45,82.91,0.0,5,4,9,7,6,4,7,7,2,5,2,1,4,1,Management,"Product Owner, Scrum Master",AI-ML,Creative,0,5,Yes,Web,"Scikit-Learn, Linux, Wireshark, Network Security",Database Administrator
ST0103,BCA,BCA,22,Other,67.42,69.91,80.0,7,6,7,8,8,4,7,4,4,4,3,4,5,2,Creative,"Content Creation, UI Design",AI-ML,Logical,0,3,No,Networking,"CSS, Photoshop",Full Stack Developer
ST0104,Pursuing_BTech,BTech_IT,19,Female,82.99,58.7,0.0,8,8,6,6,6,6,6,6,3,5,4,1,5,1,Creative,"Visual Prototyping, UI Design",Data,Analytical,1,2,No,Web,"Figma, Python, Illustrator",Software Tester
ST0105,Pursuing_12th,Science,17,Male,59.07,0.0,0.0,7,9,7,3,5,8,7,8,5,1,3,1,3,5,Technical,"Software Engineering, DevOps",Web,Analytical,0,0,No,Python,"Figma, Illustrator",Database Administrator
ST0106,Graduate,BCA,19,Male,60.56,100.0,79.28,6,8,5,6,6,9,5,4,2,5,5,1,4,1,Management,"Operations, Team Lead",AI-ML,Leader,1,1,No,DBMS,"Market Research, CRM, Node.js",Business Analyst
ST0107,Pursuing_12th,Arts,17,Male,87.63,0.0,0.0,7,4,4,6,6,4,10,4,1,4,1,5,4,4,Creative,"Content Creation, Frontend Design",Security,Analytical,1,1,No,Math,"Communication, Azure, CRM, Agile",Data Scientist
ST0108,Graduate,BCA,25,Male,74.95,83.04,61.71,7,4,6,5,3,6,10,3,1,5,4,2,1,3,Creative,"Frontend Design, UI Design",Web,Logical,5,4,Yes,UI Design,"Project Management, Azure, Linux, Kubernetes",Web Developer
ST0109,10th,General,16,Male,73.62,0.0,0.0,5,7,5,5,4,8,10,6,4,2,3,2,5,4,Analytical,"Market Research, Risk Assessment",Cloud,Logical,3,2,No,Web,"Figma, Photoshop, Canva",Cybersecurity Analyst
ST0110,Diploma,Diploma_ECE,19,Male,62.51,52.58,0.0,3,4,7,3,8,8,4,8,1,3,2,4,1,4,Analytical,"Market Research, Data Analysis",Cloud,Analytical,1,1,No,DBMS,"Excel, Photoshop, Adobe XD, Canva",Backend Developer
ST0111,BCA,BCA,19,Female,69.81,60.85,81.91,6,10,6,7,6,7,8,9,5,1,4,2,4,2,Technical,"Software Engineering, System Admin",Cloud,Creative,2,4,Yes,Math,"Market Research, Python",Full Stack Developer
ST0112,Diploma,Diploma_Mech,25,Female,72.5,56.87,0.0,5,9,6,6,7,7,8,9,2,4,1,1,1,5,Technical,"Software Engineering, App Development",Security,Creative,1,2,No,Statistics,"Terraform, Tableau, Python, SQL",Backend Developer
